股道,顺,车种,车号,自重,换长,载重,到站,方向,品名,发站,发货人,收货人,挂运车次,备注
10,1,C70,1639156,22.6,1.3,,,,空,鹧鸪江,A,B,,
10,2,P64AK,3450003,24.7,1.5,58,怀化西,1,豆粕,钦州港,A,B,,
10,3,P64AK,3501652,25.8,1.5,58,吉首,1,豆粕,钦州港,A,B,,
10,4,P70,3829637,25.4,1.6,70,阁老坝,1,豆粕,钦州港,A,B,,
10,5,P70,3802275,25,1.6,70,久长,1,豆粕,钦州港,A,B,,
10,6,P70,3813672,24.5,1.6,70,久长,1,豆粕,钦州港,A,B,,
10,7,P64K,3407457,25.4,1.5,58,改貌,1,豆粕,钦州港,A,B,,
10,8,C64K,4826899,21.6,1.2,36,羊坪,1,铬矿石,钦州港,A,B,,
10,9,NX70AF,5742054,23.8,1.3,,,,空,钦州港,A,B,,
10,10,P64K,3412916,25.4,1.5,58,扎佐,1,豆粕,钦州港,A,B,,
10,11,GQ70,6606297,22.8,1.1,62,全州,1,柴油,钦州港,A,B,,
10,12,GQ70,6609904,22.7,1.1,53,久长,1,汽油,钦州港,A,B,,
10,13,GQ70,6610781,23.1,1.1,53,久长,1,汽油,钦州港,A,B,,
10,14,G70K,6282694,20.1,1.1,,,,空,崇左,A,B,,
10,15,GQ70,6612555,23.6,1.1,53,滥坝,1,汽油,钦州港,A,B,,
11,16,GW70,770199,26.7,1.2,,南宁南,3,自备,王家营西,A,B,,
11,17,C64K,4884273,22.3,1.2,64,李家湾,1,锰矿石,钦州港,A,B,,
11,18,C70,1557467,22.2,1.3,60,兴安,1,原煤,钦州港,A,B,,
11,19,C70E,1838357,24,1.3,60,泗亭,1,原煤,钦州港,A,B,,
11,20,C70E,1827401,24.2,1.3,70,郑屯,3,敞二重2,钦州港,A,B,,
4,21,C70,1560295,22.5,1.3,68,珠江源,3,敞二重2,钦州港,A,B,,
4,22,GQ70,6609459,22.8,1.1,53,郑屯,3,汽油,钦州港,A,B,,
4,23,P64K,3409627,24.9,1.5,58,西昌南,3,豆粕,钦州港,A,B,,
4,24,P64K,3407524,25.8,1.5,58,大理东,3,豆粕,钦州港,A,B,,
4,25,P64K,3405429,25.4,1.5,58,祥云西,3,豆粕,钦州港,A,B,,
4,26,C70EH,1520523,24,1.3,70,羊坪,1,铬矿石,钦州港,A,B,,
4,27,C64K,4938537,21.4,1.2,61,新晃,1,铬矿石,钦州港,A,B,,
9,28,C70,1629946,22.8,1.3,70,德保,3,原煤,钦州港,A,B,,
9,29,P64GK,3471334,23.8,1.5,49,中方,1,木片,钦州港,A,B,,
9,30,NX70,5461681,24.3,1.5,69,玉溪南,3,特二重2,钦州港,A,B,,
9,31,NX70A,5738302,23.8,1.3,5,那厘,3,自二空2,钦州港,A,B,,
G1,32,C64K,4840390,21.2,1.2,60,鹧鸪江,1,原煤,钦州港,A,B,,
GM4,33,GQ70,6601012,23.5,1.1,,茂名西,1,空,会同,A,B,,
GT1,34,C64K,4842133,22.6,1.2,61,那厘,3,原煤,钦州港,A,B,,
TS1,35,C70,1657232,23,1.3,60,泗亭,1,原煤,钦州港,A,B,,
Y14,36,GQ70,912251,23.5,1.1,62,严关乡,1,柴油,钦州港,A,B,,
Y14,37,G70K,6278172,19.8,1.1,49,兴业,1,汽油,钦州港,A,B,,
Y14,38,GQ70,924448,23.4,1.1,55,黔江,1,汽油,钦州港,A,B,,
Y3,39,GQ70,924959,23.4,1.1,62,百色东,3,柴油,钦州港,A,B,,
